Date,State,18+ Dose 1,18+ Dose 2,18+ Total Doses,15-18 Dose 1,15-18 Dose 2,15-18 Total Doses,12-14 Dose 1,12-14 Dose 2,12-14 Total Doses,18-59 Booster Dose,60+ Booster Dose,Booster Total Doses,Total Doses,Week,Month,Year
2021-02-26,Manipur,48938,2239,51177,0,0,0,0,0,0,0,0,0,51177,WK 08-2021,Feb-2021,2021
2021-02-26,Meghalaya,28860,1350,30210,0,0,0,0,0,0,0,0,0,30210,WK 08-2021,Feb-2021,2021
2021-02-26,Mizoram,20955,4876,25831,0,0,0,0,0,0,0,0,0,25831,WK 08-2021,Feb-2021,2021
2021-02-26,Nagaland,28691,5425,34116,0,0,0,0,0,0,0,0,0,34116,WK 08-2021,Feb-2021,2021
2021-02-26,Odisha,458368,154434,612802,0,0,0,0,0,0,0,0,0,612802,WK 08-2021,Feb-2021,2021
2021-02-26,Puducherry,9455,1024,10479,0,0,0,0,0,0,0,0,0,10479,WK 08-2021,Feb-2021,2021
2021-02-26,Punjab,149029,32863,181892,0,0,0,0,0,0,0,0,0,181892,WK 08-2021,Feb-2021,2021
2021-02-26,Rajasthan,797900,152486,950386,0,0,0,0,0,0,0,0,0,950386,WK 08-2021,Feb-2021,2021
2021-02-26,Sikkim,16630,1228,17858,0,0,0,0,0,0,0,0,0,17858,WK 08-2021,Feb-2021,2021
2021-02-26,Tamil Nadu,378411,50844,429255,0,0,0,0,0,0,0,0,0,429255,WK 08-2021,Feb-2021,2021
2021-02-26,Telangana,284058,114020,398078,0,0,0,0,0,0,0,0,0,398078,WK 08-2021,Feb-2021,2021
2021-02-26,Tripura,88487,19527,108014,0,0,0,0,0,0,0,0,0,108014,WK 08-2021,Feb-2021,2021
2021-02-26,Uttar Pradesh,1167285,203454,1370739,0,0,0,0,0,0,0,0,0,1370739,WK 08-2021,Feb-2021,2021
2021-02-26,Uttarakhand,140671,14323,154994,0,0,0,0,0,0,0,0,0,154994,WK 08-2021,Feb-2021,2021
2021-02-26,West Bengal,872999,120107,993106,0,0,0,0,0,0,0,0,0,993106,WK 08-2021,Feb-2021,2021
2021-02-27,Andaman & Nicobar Island,6134,242,6376,0,0,0,0,0,0,0,0,0,6376,WK 08-2021,Feb-2021,2021
2021-02-27,Andhra Pradesh,529607,13933,543540,0,0,0,0,0,0,0,0,0,543540,WK 08-2021,Feb-2021,2021
2021-02-27,Arunanchal Pradesh,25379,674,26053,0,0,0,0,0,0,0,0,0,26053,WK 08-2021,Feb-2021,2021
2021-02-27,Assam,195906,2767,198673,0,0,0,0,0,0,0,0,0,198673,WK 08-2021,Feb-2021,2021
2021-02-27,Bihar,560158,7921,568079,0,0,0,0,0,0,0,0,0,568079,WK 08-2021,Feb-2021,2021
2021-02-27,Chandigarh,20890,171,21061,0,0,0,0,0,0,0,0,0,21061,WK 08-2021,Feb-2021,2021
2021-02-27,Chhattisgarh,377834,5179,383013,0,0,0,0,0,0,0,0,0,383013,WK 08-2021,Feb-2021,2021
2021-02-27,Dadara & Nagar Havelli,5352,43,5395,0,0,0,0,0,0,0,0,0,5395,WK 08-2021,Feb-2021,2021
2021-02-27,Daman & Diu,2371,28,2399,0,0,0,0,0,0,0,0,0,2399,WK 08-2021,Feb-2021,2021
2021-02-27,NCT of Delhi,372906,3705,376611,0,0,0,0,0,0,0,0,0,376611,WK 08-2021,Feb-2021,2021
2021-02-27,Goa,18722,207,18929,0,0,0,0,0,0,0,0,0,18929,WK 08-2021,Feb-2021,2021
2021-02-27,Gujarat,833722,16744,850466,0,0,0,0,0,0,0,0,0,850466,WK 08-2021,Feb-2021,2021
2021-02-27,Haryana,221841,7198,229039,0,0,0,0,0,0,0,0,0,229039,WK 08-2021,Feb-2021,2021
2021-02-27,Himachal Pradesh,101504,2092,103596,0,0,0,0,0,0,0,0,0,103596,WK 08-2021,Feb-2021,2021
2021-02-27,Jammu & Kashmir,240817,1625,242442,0,0,0,0,0,0,0,0,0,242442,WK 08-2021,Feb-2021,2021
2021-02-27,Jharkhand,284371,2383,286754,0,0,0,0,0,0,0,0,0,286754,WK 08-2021,Feb-2021,2021
2021-02-27,Karnataka,604954,21376,626330,0,0,0,0,0,0,0,0,0,626330,WK 08-2021,Feb-2021,2021
2021-02-27,Kerala,482445,10486,492931,0,0,0,0,0,0,0,0,0,492931,WK 08-2021,Feb-2021,2021
2021-02-27,Ladakh,9226,82,9308,0,0,0,0,0,0,0,0,0,9308,WK 08-2021,Feb-2021,2021
2021-02-27,Lakshadweep,2368,71,2439,0,0,0,0,0,0,0,0,0,2439,WK 08-2021,Feb-2021,2021
2021-02-27,Madhya Pradesh,650684,16063,666747,0,0,0,0,0,0,0,0,0,666747,WK 08-2021,Feb-2021,2021
2021-02-27,Maharashtra,1041947,16023,1057970,0,0,0,0,0,0,0,0,0,1057970,WK 08-2021,Feb-2021,2021
2021-02-27,Manipur,52420,254,52674,0,0,0,0,0,0,0,0,0,52674,WK 08-2021,Feb-2021,2021
2021-02-27,Meghalaya,30465,172,30637,0,0,0,0,0,0,0,0,0,30637,WK 08-2021,Feb-2021,2021
2021-02-27,Mizoram,21997,565,22562,0,0,0,0,0,0,0,0,0,22562,WK 08-2021,Feb-2021,2021
2021-02-27,Nagaland,29806,549,30355,0,0,0,0,0,0,0,0,0,30355,WK 08-2021,Feb-2021,2021
2021-02-27,Odisha,460554,15826,476380,0,0,0,0,0,0,0,0,0,476380,WK 08-2021,Feb-2021,2021
2021-02-27,Puducherry,9920,122,10042,0,0,0,0,0,0,0,0,0,10042,WK 08-2021,Feb-2021,2021
2021-02-27,Punjab,154449,3635,158084,0,0,0,0,0,0,0,0,0,158084,WK 08-2021,Feb-2021,2021
2021-02-27,Rajasthan,798447,22476,820923,0,0,0,0,0,0,0,0,0,820923,WK 08-2021,Feb-2021,2021
2021-02-27,Sikkim,16951,136,17087,0,0,0,0,0,0,0,0,0,17087,WK 08-2021,Feb-2021,2021
2021-02-27,Tamil Nadu,388896,5643,394539,0,0,0,0,0,0,0,0,0,394539,WK 08-2021,Feb-2021,2021
2021-02-27,Telangana,289772,13001,302773,0,0,0,0,0,0,0,0,0,302773,WK 08-2021,Feb-2021,2021
2021-02-27,Tripura,89449,2152,91601,0,0,0,0,0,0,0,0,0,91601,WK 08-2021,Feb-2021,2021
2021-02-27,Uttar Pradesh,1170925,31005,1201930,0,0,0,0,0,0,0,0,0,1201930,WK 08-2021,Feb-2021,2021
2021-02-27,Uttarakhand,142340,1944,144284,0,0,0,0,0,0,0,0,0,144284,WK 08-2021,Feb-2021,2021
2021-02-27,West Bengal,961416,14476,975892,0,0,0,0,0,0,0,0,0,975892,WK 08-2021,Feb-2021,2021
2021-02-28,Andaman & Nicobar Island,6134,2422,8556,0,0,0,0,0,0,0,0,0,8556,WK 09-2021,Feb-2021,2021
2021-02-28,Andhra Pradesh,529607,139337,668944,0,0,0,0,0,0,0,0,0,668944,WK 09-2021,Feb-2021,2021
2021-02-28,Arunanchal Pradesh,25379,6741,32120,0,0,0,0,0,0,0,0,0,32120,WK 09-2021,Feb-2021,2021
2021-02-28,Assam,195906,27675,223581,0,0,0,0,0,0,0,0,0,223581,WK 09-2021,Feb-2021,2021
2021-02-28,Bihar,560158,79212,639370,0,0,0,0,0,0,0,0,0,639370,WK 09-2021,Feb-2021,2021
2021-02-28,Chandigarh,20890,1712,22602,0,0,0,0,0,0,0,0,0,22602,WK 09-2021,Feb-2021,2021
2021-02-28,Chhattisgarh,377834,51791,429625,0,0,0,0,0,0,0,0,0,429625,WK 09-2021,Feb-2021,2021
2021-02-28,Dadara & Nagar Havelli,5352,432,5784,0,0,0,0,0,0,0,0,0,5784,WK 09-2021,Feb-2021,2021
2021-02-28,Daman & Diu,2371,287,2658,0,0,0,0,0,0,0,0,0,2658,WK 09-2021,Feb-2021,2021
2021-02-28,NCT of Delhi,372906,37053,409959,0,0,0,0,0,0,0,0,0,409959,WK 09-2021,Feb-2021,2021
2021-02-28,Goa,18722,2072,20794,0,0,0,0,0,0,0,0,0,20794,WK 09-2021,Feb-2021,2021
2021-02-28,Gujarat,833722,167448,1001170,0,0,0,0,0,0,0,0,0,1001170,WK 09-2021,Feb-2021,2021
