Date,State,Confirmed,Recovered,Deaths,State_Code,Active,Week,Month,Year
2020-04-16,Arunanchal Pradesh,1,0,0,12,1,WK 15-2020,Apr-2020,2020
2020-04-16,Assam,33,5,1,18,27,WK 15-2020,Apr-2020,2020
2020-04-16,Bihar,74,29,1,10,44,WK 15-2020,Apr-2020,2020
2020-04-16,Chandigarh,21,7,0,4,14,WK 15-2020,Apr-2020,2020
2020-04-16,Chhattisgarh,33,17,0,22,16,WK 15-2020,Apr-2020,2020
2020-04-16,Dadara & Nagar Havelli,0,0,0,26,0,WK 15-2020,Apr-2020,2020
2020-04-16,Daman & Diu,0,0,0,25,0,WK 15-2020,Apr-2020,2020
2020-04-16,NCT of Delhi,1578,42,32,7,1504,WK 15-2020,Apr-2020,2020
2020-04-16,Goa,7,5,0,30,2,WK 15-2020,Apr-2020,2020
2020-04-16,Gujarat,871,64,36,24,771,WK 15-2020,Apr-2020,2020
2020-04-16,Haryana,205,43,3,6,159,WK 15-2020,Apr-2020,2020
2020-04-16,Himachal Pradesh,35,16,1,2,18,WK 15-2020,Apr-2020,2020
2020-04-16,Jammu & Kashmir,300,36,4,1,260,WK 15-2020,Apr-2020,2020
2020-04-16,Jharkhand,28,0,2,20,26,WK 15-2020,Apr-2020,2020
2020-04-16,Karnataka,315,82,13,29,220,WK 15-2020,Apr-2020,2020
2020-04-16,Kerala,388,218,3,32,167,WK 15-2020,Apr-2020,2020
2020-04-16,Ladakh,17,10,0,37,7,WK 15-2020,Apr-2020,2020
2020-04-16,Lakshadweep,0,0,0,31,0,WK 15-2020,Apr-2020,2020
2020-04-16,Madhya Pradesh,1120,64,53,23,1003,WK 15-2020,Apr-2020,2020
2020-04-16,Maharashtra,2919,295,187,27,2437,WK 15-2020,Apr-2020,2020
2020-04-16,Manipur,2,1,0,14,1,WK 15-2020,Apr-2020,2020
2020-04-16,Meghalaya,7,0,1,17,6,WK 15-2020,Apr-2020,2020
2020-04-16,Mizoram,1,0,0,15,1,WK 15-2020,Apr-2020,2020
2020-04-16,Nagaland,0,0,0,13,0,WK 15-2020,Apr-2020,2020
2020-04-16,Odisha,60,18,1,21,41,WK 15-2020,Apr-2020,2020
2020-04-16,Puducherry,7,1,0,34,6,WK 15-2020,Apr-2020,2020
2020-04-16,Punjab,186,27,13,3,146,WK 15-2020,Apr-2020,2020
2020-04-16,Rajasthan,1023,147,3,8,873,WK 15-2020,Apr-2020,2020
2020-04-16,Sikkim,0,0,0,11,0,WK 15-2020,Apr-2020,2020
2020-04-16,Tamil Nadu,1242,118,14,33,1110,WK 15-2020,Apr-2020,2020
2020-04-16,Telangana,698,120,18,36,560,WK 15-2020,Apr-2020,2020
2020-04-16,Tripura,2,1,0,16,1,WK 15-2020,Apr-2020,2020
2020-04-16,Uttar Pradesh,773,68,13,9,692,WK 15-2020,Apr-2020,2020
2020-04-16,Uttarakhand,37,9,0,5,28,WK 15-2020,Apr-2020,2020
2020-04-16,West Bengal,231,42,7,19,182,WK 15-2020,Apr-2020,2020
2020-04-17,Andaman & Nicobar Island,11,10,0,35,1,WK 15-2020,Apr-2020,2020
2020-04-17,Andhra Pradesh,534,20,14,28,500,WK 15-2020,Apr-2020,2020
2020-04-17,Arunanchal Pradesh,1,0,0,12,1,WK 15-2020,Apr-2020,2020
2020-04-17,Assam,35,5,1,18,29,WK 15-2020,Apr-2020,2020
2020-04-17,Bihar,80,37,1,10,42,WK 15-2020,Apr-2020,2020
2020-04-17,Chandigarh,21,9,0,4,12,WK 15-2020,Apr-2020,2020
2020-04-17,Chhattisgarh,33,23,0,22,10,WK 15-2020,Apr-2020,2020
2020-04-17,Dadara & Nagar Havelli,0,0,0,26,0,WK 15-2020,Apr-2020,2020
2020-04-17,Daman & Diu,0,0,0,25,0,WK 15-2020,Apr-2020,2020
2020-04-17,NCT of Delhi,1640,51,38,7,1551,WK 15-2020,Apr-2020,2020
2020-04-17,Goa,7,6,0,30,1,WK 15-2020,Apr-2020,2020
2020-04-17,Gujarat,930,73,36,24,821,WK 15-2020,Apr-2020,2020
2020-04-17,Haryana,205,43,3,6,159,WK 15-2020,Apr-2020,2020
2020-04-17,Himachal Pradesh,35,16,1,2,18,WK 15-2020,Apr-2020,2020
2020-04-17,Jammu & Kashmir,314,38,4,1,272,WK 15-2020,Apr-2020,2020
2020-04-17,Jharkhand,28,0,2,20,26,WK 15-2020,Apr-2020,2020
2020-04-17,Karnataka,315,82,13,29,220,WK 15-2020,Apr-2020,2020
2020-04-17,Kerala,395,245,3,32,147,WK 15-2020,Apr-2020,2020
2020-04-17,Ladakh,18,14,0,37,4,WK 15-2020,Apr-2020,2020
2020-04-17,Lakshadweep,0,0,0,31,0,WK 15-2020,Apr-2020,2020
2020-04-17,Madhya Pradesh,1120,64,53,23,1003,WK 15-2020,Apr-2020,2020
2020-04-17,Maharashtra,3205,300,194,27,2711,WK 15-2020,Apr-2020,2020
2020-04-17,Manipur,2,1,0,14,1,WK 15-2020,Apr-2020,2020
